SiteID,SiteName,Latitude,Longitude,Country
403,Yukon-Kuskokwim Delta,62,-166,USA_AK
398,Cinder Lagoon,57.2,-158.1,USA_AK
499,Port Heiden,56.75,-159,USA_AK
400,Port Moller/Nelson Lagoon/Mud Bay,55.5,-161,USA_AK
401,Pribilof Islands,57.4,-170.25,USA_AK
402,Stebbins-St Michael Wetlands,63.2,-162.4,USA_AK
335,Daursky Nature Reserve,50,115.67,RUSSIA
343,Moroshechnaya River Estuary,56.83,156.17,RUSSIA
341,Lososei Bay,46.73,142.68,RUSSIA
349,Schastiya Bay,53.31,141.16,RUSSIA
337,Kharchinskoe Lake,56.53,160.87,RUSSIA
352,Tugurskiy Bay,53.75,136.78,RUSSIA
340,Lake Evoron,51.75,136.17,RUSSIA
346,Penzhina River mouth,62.5,165.18,RUSSIA
330,Babushkina Bay,59.19,153.57,RUSSIA
331,Baikal Bay,53.57,142.48,RUSSIA
350,Skobeleva Bay,60.4,166.33,RUSSIA
332,Bolshoe Lake and Bolshaya River Mouth,52.53,156.28,RUSSIA
336,Khairyuzova Bay,57.08,156.68,RUSSIA
344,Nabilsky Bay,51.72,143.32,RUSSIA
351,Terpeniya Bay,48.65,144.73,RUSSIA
333,Chaivo Bay,52.35,143.1,RUSSIA
334,Dagiy Bay,52.07,143.12,RUSSIA
338,Konstantina Bay,54.03,137.28,RUSSIA
339,Kronotsky Nature Reserve,54.57,161.17,RUSSIA
342,Malkachan River mouth,59.87,154.22,RUSSIA
345,Opala River,51.92,156.48,RUSSIA
347,Pomr Bay,53.67,142.63,RUSSIA
348,Sakhalinsky Bay,53.92,142.72,RUSSIA
353,Ulbanskiy Bay,53.57,137.22,RUSSIA
354,Vakhil River Mouth,53.24,159.58,RUSSIA
191,Yancheng National Nature Reserve,33.67,120.5,CHINA
161,Huang He National Nature Reserve,38,118.83,CHINA
179,Shi Jiu Tuo/Daqing He,39.13,118.82,CHINA
181,Shuangtaizihekou National Nature Reserve,40.84,121.75,CHINA
154,Dongsha Islands,33.12,121.35,CHINA
175,North-west Bo Hai Wan,38.92,117.83,CHINA
190,Yalu Jiang National Nature Reserve,39.82,124.11,CHINA
148,Chongming Dongtan National Nature Reserve,31.5,121.75,CHINA
170,Mai Po Marshes,22.5,114,CHINA
182,South Bo Hai Wan,38.13,118.2,CHINA
173,North Bo Hai Wan,39.08,118.43,CHINA
167,Linghekou,40.87,121.58,CHINA
176,Poyang Hu National Nature Reserve,28.9,116.27,CHINA
155,East Dongting Hu National Nature Reserve,29.25,112.92,CHINA
157,Gaoyou Hu/Shabo Hu,32.58,119.33,CHINA
163,Jiu Duan Sha National Nature Reserve,31.27,121.85,CHINA
186,Ta-Too-Hsi,24.13,120.41,CHINA
187,Tseng-Wen-Hsi,23.08,120.08,CHINA
160,Han-Pao,24.05,120.37,CHINA
162,Jiazhouwan,36.18,120.17,CHINA
165,Laizhouwan,37.17,119.25,CHINA
166,Lan-Yang-Hsi (River),24.72,121.82,CHINA
184,South-west Bo Hai Wan,38.47,117.67,CHINA
412,Zhalong National Nature Reserve,46.7,123.7,CHINA
142,Anping,22.97,120.17,CHINA
143,Baidang Hu,30.78,117.38,CHINA
149,Cho-Shui-Hsi S.,23.83,120.22,CHINA
150,Chuan-Hsing,24.2,120.45,CHINA
151,Dalai Hu National Nature Reserve,48.9,117.4,CHINA
156,Futien Nature Reserves,22.53,114.05,CHINA
158,Haizhouwan (Taibei Saltworks),34.71,119.24,CHINA
164,Ku-Liao,24.8,120.92,CHINA
144,Baoshan Steel Plant Reservoirs,31.43,121.43,CHINA
145,Bo Hu,30.17,116.45,CHINA
146,Changhua Coastal Industrial Park,24.07,120.38,CHINA
147,Chen Hu,30.33,113.85,CHINA
152,Daqing He,39.17,118.92,CHINA
153,Dianchi,24.83,102.72,CHINA
159,Hannan Lake,30.33,113.83,CHINA
169,Longgan Hu,29.98,115.8,CHINA
171,Miao Gang,30.91,121.88,CHINA
172,Nanjishan,28.83,116.28,CHINA
174,Northern Jiangsu Coastline,35.6,119.7,CHINA
177,Sanmen Wan,29.17,121.58,CHINA
178,Shengjin Hu,30.35,117.08,CHINA
180,Shijiu Hu,31.38,118.78,CHINA
183,South Donting Hu,28.97,112.53,CHINA
185,Szu-Tsao Wildlife Reserve,23.02,120.13,CHINA
188,Xinmiao Hu,29.37,116.17,CHINA
189,Xuwei saltworks,34.5,119.72,CHINA
192,Yung-An,22.83,120.23,CHINA
327,Mundok Migratory Bird Wetland Reserve,39.44,125.34,NORTH KOREA
361,Dongjin Estuary,35.78,126.75,SOUTH KOREA
369,Mankyung Estuary,35.9,126.75,SOUTH KOREA
