EAA_ID,OCC,BLOCK
46,1,7
190,1,2
84,1,7
110,1,7
197,1,4
30,1,8
102,1,5
366,1,2
327,1,2
86,1,7
181,1,2
107,1,6
191,1,2
379,1,3
154,1,2
120,1,8
357,1,2
161,1,2
369,1,2
28,1,6
361,1,2
343,1,1
98,1,7
36,1,7
148,1,2
82,1,7
38,1,5
25,1,6
17,1,6
49,1,7
371,1,2
108,1,8
179,1,2
368,1,2
302,1,4
96,1,6
328,1,6
373,1,2
214,1,3
173,1,2
167,1,2
225,1,3
273,1,3
341,1,1
376,1,2
366,1,3
357,1,3
369,1,3
361,1,3
368,1,3
373,1,3
376,1,3
371,1,3
190,1,9
327,1,9
181,1,9
191,1,9
154,1,9
161,1,9
148,1,9
179,1,9
173,1,9
167,1,9
379,1,2
