"","week","obsCount","nLists","region"
"1",18,0,1,"BREED"
"2",19,0,1,"BREED"
"3",20,1,2,"BREED"
"4",21,3,3,"BREED"
"5",22,4,5,"BREED"
"6",23,14,6,"BREED"
"7",24,54,3,"BREED"
"8",25,0,1,"BREED"
"9",26,2,1,"BREED"
"10",27,6,1,"BREED"
"11",28,30,1,"BREED"
"12",29,125,3,"BREED"
"13",30,0,1,"BREED"
"14",31,1,2,"BREED"
"15",32,0,1,"BREED"
"16",33,1,2,"BREED"
"17",34,5,2,"BREED"
"18",35,0,1,"BREED"
"19",36,4,2,"BREED"
"20",1,0,20,"JPN-SK"
"21",2,0,8,"JPN-SK"
"22",3,0,9,"JPN-SK"
"23",4,0,13,"JPN-SK"
"24",5,0,9,"JPN-SK"
"25",6,0,7,"JPN-SK"
"26",7,1,9,"JPN-SK"
"27",8,4,13,"JPN-SK"
"28",9,0,9,"JPN-SK"
"29",10,2,11,"JPN-SK"
"30",11,31,12,"JPN-SK"
"31",12,62,12,"JPN-SK"
"32",13,401,15,"JPN-SK"
"33",14,33,15,"JPN-SK"
"34",15,494,17,"JPN-SK"
"35",16,1551,32,"JPN-SK"
"36",17,46,18,"JPN-SK"
"37",18,229,21,"JPN-SK"
"38",19,309,22,"JPN-SK"
"39",20,31,22,"JPN-SK"
"40",21,14,14,"JPN-SK"
"41",22,77,18,"JPN-SK"
"42",23,55,13,"JPN-SK"
"43",24,3,6,"JPN-SK"
"44",25,93,13,"JPN-SK"
"45",26,412,11,"JPN-SK"
"46",27,0,5,"JPN-SK"
"47",28,0,5,"JPN-SK"
"48",29,0,7,"JPN-SK"
"49",30,17,11,"JPN-SK"
"50",31,113,13,"JPN-SK"
"51",32,1,9,"JPN-SK"
"52",33,1048,17,"JPN-SK"
"53",34,635,16,"JPN-SK"
"54",35,70,20,"JPN-SK"
"55",36,261,20,"JPN-SK"
"56",37,1009,20,"JPN-SK"
"57",38,21,14,"JPN-SK"
"58",39,23,10,"JPN-SK"
"59",40,184,16,"JPN-SK"
"60",41,270,11,"JPN-SK"
"61",42,688,15,"JPN-SK"
"62",43,3,18,"JPN-SK"
"63",44,16,11,"JPN-SK"
"64",45,40,17,"JPN-SK"
"65",46,4,6,"JPN-SK"
"66",47,0,11,"JPN-SK"
"67",48,0,6,"JPN-SK"
"68",49,0,10,"JPN-SK"
"69",50,3,10,"JPN-SK"
"70",51,0,7,"JPN-SK"
"71",52,0,8,"JPN-SK"
"72",53,0,1,"JPN-SK"
"73",1,1,9,"MSIA-IND"
"74",2,11,14,"MSIA-IND"
"75",3,4,11,"MSIA-IND"
"76",4,0,12,"MSIA-IND"
"77",5,10,8,"MSIA-IND"
"78",6,0,10,"MSIA-IND"
"79",7,1,11,"MSIA-IND"
"80",8,60,6,"MSIA-IND"
"81",9,0,13,"MSIA-IND"
"82",10,30,11,"MSIA-IND"
"83",11,5,7,"MSIA-IND"
"84",12,1,7,"MSIA-IND"
"85",13,0,15,"MSIA-IND"
"86",14,0,10,"MSIA-IND"
"87",15,3,16,"MSIA-IND"
"88",16,0,9,"MSIA-IND"
"89",17,18,10,"MSIA-IND"
"90",18,0,9,"MSIA-IND"
"91",19,8,8,"MSIA-IND"
"92",20,0,6,"MSIA-IND"
"93",21,0,4,"MSIA-IND"
"94",22,1,7,"MSIA-IND"
"95",23,6,6,"MSIA-IND"
"96",24,15,6,"MSIA-IND"
"97",25,0,9,"MSIA-IND"
"98",26,3,21,"MSIA-IND"
"99",27,21,11,"MSIA-IND"
"100",28,12,10,"MSIA-IND"
"101",29,12,13,"MSIA-IND"
"102",30,1,17,"MSIA-IND"
"103",31,6,12,"MSIA-IND"
"104",32,3,12,"MSIA-IND"
"105",33,7,17,"MSIA-IND"
"106",34,50,14,"MSIA-IND"
"107",35,34,11,"MSIA-IND"
"108",36,1,9,"MSIA-IND"
"109",37,41,15,"MSIA-IND"
"110",38,3,15,"MSIA-IND"
"111",39,49,23,"MSIA-IND"
"112",40,4,19,"MSIA-IND"
"113",41,20,18,"MSIA-IND"
"114",42,60,18,"MSIA-IND"
"115",43,3,15,"MSIA-IND"
"116",44,2,5,"MSIA-IND"
"117",45,145,15,"MSIA-IND"
"118",46,13,11,"MSIA-IND"
"119",47,103,6,"MSIA-IND"
"120",48,2,7,"MSIA-IND"
"121",49,253,13,"MSIA-IND"
"122",50,0,7,"MSIA-IND"
"123",51,79,12,"MSIA-IND"
"124",52,2,8,"MSIA-IND"
"125",53,0,2,"MSIA-IND"
"126",1,235,6,"NWAUS"
"127",2,230,6,"NWAUS"
"128",3,16,8,"NWAUS"
"129",4,0,4,"NWAUS"
"130",5,241,9,"NWAUS"
"131",6,206,11,"NWAUS"
"132",7,27,11,"NWAUS"
"133",8,14,16,"NWAUS"
"134",9,8,9,"NWAUS"
"135",10,50,15,"NWAUS"
"136",11,44,9,"NWAUS"
"137",12,23,13,"NWAUS"
"138",13,3,10,"NWAUS"
"139",14,35,11,"NWAUS"
"140",15,32,13,"NWAUS"
"141",16,16,4,"NWAUS"
"142",17,15,10,"NWAUS"
"143",18,32,12,"NWAUS"
"144",19,135,16,"NWAUS"
"145",20,5,11,"NWAUS"
"146",21,36,13,"NWAUS"
"147",22,6,7,"NWAUS"
"148",23,62,22,"NWAUS"
"149",24,39,12,"NWAUS"
"150",25,38,16,"NWAUS"
"151",26,73,21,"NWAUS"
"152",27,39,20,"NWAUS"
"153",28,306,16,"NWAUS"
"154",29,58,14,"NWAUS"
"155",30,11,23,"NWAUS"
"156",31,8,10,"NWAUS"
"157",32,19,19,"NWAUS"
"158",33,114,22,"NWAUS"
"159",34,33,21,"NWAUS"
"160",35,85,29,"NWAUS"
"161",36,44,25,"NWAUS"
"162",37,50,21,"NWAUS"
"163",38,9,18,"NWAUS"
"164",39,36,13,"NWAUS"
"165",40,15,18,"NWAUS"
"166",41,389,22,"NWAUS"
"167",42,77,27,"NWAUS"
"168",43,16,12,"NWAUS"
"169",44,14,16,"NWAUS"
"170",45,5,11,"NWAUS"
"171",46,125,8,"NWAUS"
"172",47,36,5,"NWAUS"
